scenario,scenario_label_fa,wind_speed_mps,wind_flow_bearing_deg,station_count,covered_demand_count,uncovered_demand_count,total_eligible_demand_count,total_unserved_eligible_demand_count,covered_share_of_all_eligible_demands,mean_route_distance_km,p95_route_distance_km,max_route_distance_km,mean_detour_ratio,p95_detour_ratio,max_detour_ratio,mean_total_energy_fraction,p95_total_energy_fraction,max_total_energy_fraction,changed_station_count_vs_calm,solver_status
CALM,بدون باد,0.0,,21,1449,68,1528,79,0.9482984293193717,3.112749141813847,6.053088563215596,8.360204862487242,1.3203411492462864,1.9000072830677552,23.54785613752808,0.32070327082428407,0.5858588793614062,0.7939113313492968,0,Optimal
N2S_5,شمال به جنوب، ۵ متر بر ثانیه,5.0,180.0,22,1449,68,1528,79,0.9482984293193717,3.066527720019734,6.03284951591616,7.8453948070631565,1.359934327100167,2.035024910460739,23.54785613752808,0.3404071965392029,0.6209121224063047,0.7933663502538235,1,Optimal
S2N_5,جنوب به شمال، ۵ متر بر ثانیه,5.0,0.0,21,1449,68,1528,79,0.9482984293193717,3.634125635259205,6.689910785307501,7.902770051929798,1.3539960654799101,2.1668218324623596,23.54785613752808,0.39963644789613034,0.7154572431133832,0.7967000129718895,6,Optimal
E2W_5,شرق به غرب، ۵ متر بر ثانیه,5.0,270.0,21,1449,68,1528,79,0.9482984293193717,3.7360190589254687,6.759298683969222,7.8439465899832195,1.460065831457399,2.9661101638938465,23.54785613752808,0.4050204139859885,0.6948924437394166,0.7945697569043737,6,Optimal
W2E_5,غرب به شرق، ۵ متر بر ثانیه,5.0,90.0,21,1449,68,1528,79,0.9482984293193717,3.6758357340162404,6.768524252710354,7.783616528376892,1.3497371195909,2.1622163012401887,23.54785613752808,0.4038228104426791,0.7096042341928617,0.7993914142858968,4,Optimal
N2S_10,شمال به جنوب، ۱۰ متر بر ثانیه,10.0,180.0,24,1448,69,1528,80,0.9476439790575916,2.8809560596888044,4.955404449435574,5.921439089045806,1.3040601262229417,1.9835893500363833,23.54785613752808,0.4395971203055137,0.7198092564124372,0.7943073613704402,11,Optimal
S2N_10,جنوب به شمال، ۱۰ متر بر ثانیه,10.0,0.0,25,1447,70,1528,81,0.9469895287958116,2.656691527651665,5.026141001608671,5.921439089045806,1.3368739299155818,2.0835086490813355,23.54785613752808,0.4145421609867381,0.7111724502403548,0.797890541070735,10,Optimal
E2W_10,شرق به غرب، ۱۰ متر بر ثانیه,10.0,270.0,24,1445,72,1528,83,0.9456806282722513,2.836983462667491,4.731842984659272,6.043699488760885,1.339598640303001,2.022503968837054,23.851893574711493,0.44004616423974297,0.7203435734662402,0.799291196271776,13,Optimal
W2E_10,غرب به شرق، ۱۰ متر بر ثانیه,10.0,90.0,25,1446,71,1528,82,0.9463350785340314,2.877238689053381,4.918133845225963,5.669499337689854,1.3216880998165645,1.9015087154902786,23.54785613752808,0.43978025729958314,0.7182796442895858,0.7862019445201601,18,Optimal
