station_id,demand_id,route_energy_fraction,route_distance_km,straight_distance_km,detour_ratio,demand_name,demand_category,demand_latitude,demand_longitude,station_name,station_category,station_latitude,station_longitude,scenario,wind_speed_mps,wind_flow_bearing_deg,total_energy_fraction,battery_reserve_after_mission_fraction,unserved_reason
facility_2578,facility_1,0.6279564681483388,6.963477666595441,6.963477666595441,1.0,مطب دکتر شفیع زاده,doctors,35.6985188,51.3809752,بیمارستان سلامت فردا,hospital,35.74368823718312,51.327500297168406,CALM,0.0,,0.6679564681483389,0.33204353185166113,
facility_2578,facility_100,0.4959512839754735,5.499657802500301,5.499657802500301,1.0,درمانگاه شبانه روزی ساج,clinic,35.7849008,51.3613315,بیمارستان سلامت فردا,hospital,35.74368823718312,51.327500297168406,CALM,0.0,,0.5359512839754735,0.46404871602452646,
facility_2442,facility_1002,0.43710890984313566,4.847148307171406,4.847148307171406,1.0,دکتر عاطفه فرامرزی,doctors,35.8012584,51.4598896,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.47710890984313564,0.5228910901568644,
facility_2513,facility_1006,0.20446852070598048,2.2673736949574077,2.2673736949574077,1.0,مرکز سلامت جامع شهری بعثت,clinic,35.6492914,51.4299076,درمانگاه شبانه‌روزی یاس,hospital,35.63380147765345,51.413563736577125,CALM,0.0,,0.2444685207059805,0.7555314792940195,
facility_2442,facility_1007,0.06864452840505689,0.7612066516204329,0.7612066516204329,1.0,آزمایشگاه ظفر آریا,laboratory,35.7682953,51.4176483,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.1086445284050569,0.8913554715949431,
facility_1846,facility_1008,0.02671386709982695,0.2962329817010514,0.2962329817010514,1.0,مطب دکتر تکتم کیاماری,doctors,35.7440522,51.5342515,Turan Hearing Aid Center,hospital,35.7417034,51.5326919,CALM,0.0,,0.06671386709982695,0.933286132900173,
facility_2442,facility_1009,0.30873340853269826,3.4235783916497238,3.4235783916497238,1.0,آزمایشگاه کاخال,laboratory,35.780117,51.4605026,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.34873340853269824,0.6512665914673017,
facility_2442,facility_101,0.445171210564053,4.936552037938014,4.936552037938014,1.0,unnamed,clinic,35.7235184,51.4352105,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.485171210564053,0.514828789435947,
facility_2442,facility_1010,0.16786951054440144,1.861523285244848,1.861523285244848,1.0,دکتر قاسم اسحاقی,doctors,35.7559971,51.4108728,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.20786951054440145,0.7921304894555985,
facility_2442,facility_1011,0.259401512880723,2.8765316279842557,2.8765316279842557,1.0,مجتمع پزشکی صدر,doctors,35.7864287,51.4476054,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.299401512880723,0.700598487119277,
