name,amenity,healthcare,facility_category,is_demand_point,is_candidate_station,latitude,longitude
درمانگاه شبانه‌روزی شهرداری منطقه ۵ تهران,clinic,clinic,clinic,True,False,35.7262037785664,51.33406706183815
مجتمع پزشکی حضرت فاطمه الزهرا,hospital,hospital,hospital,True,True,35.5907888791854,51.4264785290974
شرکت مادر تخصصی پالایش و پژوهش خون ایران,,blood_donation,blood_donation,False,True,35.74731567853109,51.373192585680094
بیمارستان فرمانیه,hospital,hospital,hospital,True,True,35.79892992558839,51.47272184309982
بیمارستان نیکان,hospital,hospital,hospital,True,True,35.799862815719734,51.48959542781405
کلینیک آذر,clinic,clinic,clinic,True,False,35.74224042171103,51.411067967502056
بیمارستان کودکان مفید,hospital,hospital,hospital,True,True,35.75844421625644,51.44621165913928
درمانگاه شفا,clinic,clinic,clinic,True,False,35.7107293544822,51.50880506136551
آزمایشگاه پارسا,,laboratory,laboratory,True,False,35.649100350000005,51.3923505
درمانگاههای تخصصی بیمارستان لبافی نژاد,hospital,hospital,hospital,True,True,35.76808885449289,51.45863565397578
درمانگاه شبانه‌روزی یاس,hospital,hospital,hospital,True,True,35.63380147765345,51.413563736577125
درمانگاه,clinic,clinic,clinic,True,False,35.650478270149236,51.45882930752094
بیمارستان آرمان,hospital,hospital,hospital,True,True,35.77117165155566,51.39639970773047
درمانگاه حضرت فاطمه س,clinic,clinic,clinic,True,False,35.64896282030152,51.483349753348904
مرکز اهدای خون افسریه,,blood_donation,blood_donation,False,True,35.65445062537607,51.48813817140914
آزمایشگاه منجی,,laboratory,laboratory,True,False,35.69061896766121,51.46483667785836
آزمایشگاه پزشکی,,laboratory,laboratory,True,False,35.68547993950583,51.467586675369375
آزمایشگاه پزشکی,,laboratory,laboratory,True,False,35.68592677349899,51.467215453440865
بیمارستان دکتر سپیر,hospital,hospital,hospital,True,True,35.67860522861339,51.43105330811553
درمانگاه شبانه روزی دادمهر,clinic,clinic,clinic,True,False,35.684669852533226,51.48260030893382
بیمارستان محب مهر,,hospital,hospital,True,True,35.761384647433395,51.41046677807172
بیمارستان یاس سپید,hospital,hospital,hospital,True,True,35.71039485,51.3977157
آزمایشگاه دکتر خرازی,,laboratory,laboratory,True,False,35.691975000000006,51.48305715
آزمایشگاه پزشکی,,laboratory,laboratory,True,False,35.68015533881782,51.47988373432377
مرکز انتقال خون پیروزی,,blood_donation,blood_donation,False,True,35.69224545,51.481111549999994
unnamed,,hospital,hospital,True,True,35.65873633489825,51.41118810820441
بیمارستان شرکت نفت,hospital,hospital,hospital,True,True,35.69089906953537,51.413110649493106
آزمایشگاه پزشکی,,laboratory,laboratory,True,False,35.6973421,51.41557125
درمانگاه شهرداری,clinic,clinic,clinic,True,False,35.74295907139992,51.19066713311302
درمانگاه شبانه‌روزی عمار,clinic,clinic,clinic,True,False,35.70951221929531,51.36942600455286
مطب دکتر شیوا فارغ بال,doctors,doctor,doctors,True,False,35.70807922983866,51.36860224117179
درمانگاه شبانه‌روزی بهگر,clinic,clinic,clinic,True,False,35.70080519043634,51.365403196252146
