name,amenity,healthcare,facility_category,is_demand_point,is_candidate_station,latitude,longitude,facility_id,no_fly_categories,in_no_fly_zone
بیمارستان آریا,hospital,hospital,hospital,True,True,35.70859468199018,51.397700970272226,2425,,False
بیمارستان قلب شهید رجایی,hospital,hospital,hospital,True,True,35.7744647050968,51.41079074422836,2426,,False
بیمارستان کودکان شهید محمدحسین فهمیده,hospital,hospital,hospital,True,True,35.66855680154027,51.38256121738889,2427,,False
بیمارستان علوم مغز و اعصاب ایران,hospital,hospital,hospital,True,True,35.762785945566904,51.21040426339155,2428,airport_buffer,True
بیمارستان پارسا,hospital,hospital,hospital,True,True,35.66508127495397,51.39868138201043,2429,,False
بیمارستان امیرالمؤمنین,hospital,hospital,hospital,True,True,35.64252827451385,51.39399311378828,2430,,False
بیمارستان مفرح,hospital,hospital,hospital,True,True,35.633758795170195,51.39690848401241,2431,,False
بیمارستان دکتر شریعتی,hospital,hospital,hospital,True,True,35.721264909552374,51.38617942264705,2432,,False
بیمارستان رسول اکرم,hospital,hospital,hospital,True,True,35.71942322526295,51.37017024617875,2433,,False
بیمارستان شهریار,hospital,hospital,hospital,True,True,35.69909611845369,51.366606960397185,2434,airport_buffer,True
بیمارستان آزادی,hospital,hospital,hospital,True,True,35.69692254700704,51.35695327109592,2435,airport_buffer,True
بیمارستان روانپزشکی میمنت,hospital,hospital,hospital,True,True,35.696243357852794,51.3568478091978,2436,airport_buffer,True
بیمارستان بابک,hospital,hospital,hospital,True,True,35.69544310677873,51.36638771234979,2437,airport_buffer,True
بیمارستان شهید لبافی نژاد,hospital,hospital,hospital,True,True,35.76747170241719,51.46274123706512,2438,,False
بیمارستان سیدالشهدا,hospital,hospital,hospital,True,True,35.67744096188939,51.416539176695295,2439,,False
بیمارستان و درمانگاه فوق تخصصی مرکز درمانی ضیائیان,hospital,hospital,hospital,True,True,35.6574963632079,51.3591024836112,2440,,False
کلینیک فوق تخصصی چشم نگاه,clinic,clinic,clinic,True,False,35.75240279999999,51.447464200000006,2441,,False
بیمارستان کودکان حضرت علی اصغر,hospital,hospital,hospital,True,True,35.767388599236256,51.42599559885438,2442,,False
بیمارستان چشم پزشکی نور,hospital,hospital,hospital,True,True,35.771254291470136,51.41270629673146,2443,,False
پلی کلینیک تخصصی قدس شریف,clinic,clinic,clinic,True,False,35.71018073764895,51.47473763252439,2444,airport_buffer,True
بیمارستان فیاض بخش,hospital,hospital,hospital,True,True,35.67566589690457,51.26147414940759,2445,airport_buffer,True
بیمارستان ۱۵ خرداد,hospital,hospital,hospital,True,True,35.7126642473036,51.41317996397649,2446,,False
کلینیک شهید احمدی,clinic,,clinic,True,False,35.64313365336125,51.360237237597566,2447,,False
آزمایشگاه مرکزی شهر ری,,laboratory,laboratory,True,False,35.591848979943975,51.440895142252515,2448,government_political,True
ساختمان پزشکان شهران,clinic,clinic,clinic,True,False,35.751616150000004,51.28812429999999,2449,,False
مرکز اهدای خون مترو شهرری,,blood_donation,blood_donation,False,True,35.59432432902639,51.42335591811623,2450,,False
بیمارستان خیریه حضرت صدیقه زهرا,hospital,hospital,hospital,True,True,35.62361591768826,51.45670554364307,2451,,False
بیمارستان شهدای هفتم تیر,hospital,hospital,hospital,True,True,35.59235505574908,51.4187684691661,2452,,False
بیمارستان صدر (به آفرین),hospital,hospital,hospital,True,True,35.708645833544416,51.410690749674565,2453,,False
بیمارستان اختر,hospital,hospital,hospital,True,True,35.78916811875211,51.43173163130067,2454,,False
بیمارستان مسیح دانشوری,hospital,hospital,hospital,True,True,35.81594950803027,51.49672981488967,2455,,False
بیمارستان شهید باهنر,hospital,hospital,hospital,True,True,35.813265315046394,51.464555030335156,2456,,False
بیمارستان ایرانمهر,hospital,hospital,hospital,True,True,35.76773849477151,51.44228390189033,2457,government_political,True
بیمارستان کیان,hospital,hospital,hospital,True,True,35.76732989999999,51.4414233,2458,government_political,True
بیمارستان تهرانپارس,hospital,hospital,hospital,True,True,35.74244617197873,51.53309527047815,2459,,False
بیمارستان جامع بانوان آرش,hospital,hospital,hospital,True,True,35.73346055959012,51.52084234038495,2460,government_political,True
بیمارستان قمر بنی هاشم,hospital,hospital,hospital,True,True,35.7415352,51.45584650000001,2461,,False
بیمارستان آراد,hospital,hospital,hospital,True,True,35.70542102135476,51.42988520634802,2462,airport_buffer,True
بیمارستان ایرانشهر,hospital,hospital,hospital,True,True,35.70908633122526,51.433104447909884,2463,airport_buffer,True
بیمارستان پاستور نو,hospital,hospital,hospital,True,True,35.73202900933657,51.41735197703504,2464,government_political,True
بیمارستان کودکان بهرامی,hospital,hospital,hospital,True,True,35.71052418043942,51.46742105017489,2465,airport_buffer,True
بیمارستان آبان,hospital,hospital,hospital,True,True,35.71160515,51.412494900000006,2466,,False
